DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Mon, 18 Nov",@ New Orleans,L108-100,2-12,Paschall  30,Paschall  7,Burks  5,2019/2020,not qualified
"Wed, 20 Nov",@ Memphis,W114-95,3-12,Burks  29,Green  10,Green  11,2019/2020,not qualified
"Thu, 21 Nov",@ Dallas,L142-94,15-50,Paschall  22,Paschall  7,Poole  7,2019/2020,not qualified
"Sat, 23 Nov",@ Utah,L113-109,3-14,Burks  20,Paschall  7,Bowman  5,2019/2020,not qualified
"Tue, 26 Nov",vs Oklahoma City,L100-97,3-15,Robinson III  25,Paschall  10,Chriss  7,2019/2020,not qualified
"Thu, 28 Nov",vs Chicago,W104-90,4-15,Paschall  25,Spellman  11,Green  8,2019/2020,not qualified
"Sat, 30 Nov",@ Miami,L122-105,4-16,Poole  20,Bowman  7,Chriss  6,2019/2020,not qualified
"Sun, 1 Dec",@ Orlando,L100-96,4-17,Robinson III  19,Cauley-Stein  12,Green  7,2019/2020,not qualified
"Tue, 3 Dec",@ Atlanta,L104-79,4-18,Paschall  24,Paschall  9,Paschall  6,2019/2020,not qualified
"Thu, 5 Dec",@ Charlotte,L106-91,4-19,Russell  18,Cauley-Stein  7,Green  6,2019/2020,not qualified
"Sat, 7 Dec",@ Chicago,W100-98,5-19,Robinson III  20,Robinson III  7,Bowman  6,2019/2020,not qualified
"Tue, 10 Dec",vs Memphis,L110-102,5-20,Burks  18,Cauley-Stein  8,Russell  7,2019/2020,not qualified
"Thu, 12 Dec",vs New York,L124-122 OT,5-21,Russell  32,Green  10,Green  12,2019/2020,not qualified
"Sat, 14 Dec",@ Utah,L114-106,5-22,Burks  24,Chriss  13,Chriss  5,2019/2020,not qualified
"Mon, 16 Dec",vs Sacramento,L100-79,5-23,Cauley-Stein  14,Cauley-Stein  5,Russell  8,2019/2020,not qualified
"Thu, 19 Dec",@ Portland,L122-112,5-24,Russell  26,Chriss  10,Russell  7,2019/2020,not qualified
"Sat, 21 Dec",vs New Orleans,W106-102,6-24,Russell  25,Burks  8,Green  8,2019/2020,not qualified
"Tue, 24 Dec",vs Minnesota,W113-104,7-24,Russell  30,Green  14,Burks  8,2019/2020,not qualified
"Wed, 25 Dec",vs Houston,W116-104,8-24,Lee  22,Lee  15,Bowman  6,2019/2020,not qualified
"Sat, 28 Dec",vs Phoenix,W105-96,9-24,Russell  31,Lee  8,Russell  6,2019/2020,not qualified
"Sun, 29 Dec",vs Dallas,L141-121,9-25,Russell  35,Lee  12,Green  8,2019/2020,not qualified
"Wed, 1 Jan",@ San Antonio,L117-113 OT,9-26,Burks  28,Chriss  11,Green  9,2019/2020,not qualified
"Fri, 3 Jan",@ Minnesota,L99-84,9-27,Robinson III  16,Paschall  7,Green  6,2019/2020,not qualified
"Sun, 5 Jan",vs Detroit,L111-104,9-28,Burks  27,Burks  7,Burks  5,2019/2020,not qualified
"Tue, 7 Jan",@ Sacramento,L111-98,9-29,Robinson III  16,Cauley-Stein  9,Cauley-Stein  5,2019/2020,not qualified
"Thu, 9 Jan",vs Milwaukee,L107-98,9-30,Burks  19,Cauley-Stein  11,Green  8,2019/2020,not qualified
"Sat, 11 Jan",@ LA,L109-100,9-31,Spellman  17,Burks  8,Burks  5,2019/2020,not qualified
"Sun, 12 Jan",@ Memphis,L122-102,9-32,Russell  34,Green  8,Paschall  5,2019/2020,not qualified
"Wed, 15 Jan",vs Dallas,L124-97,9-33,Poole  17,Robinson III  7,Russell  8,2019/2020,not qualified
"Fri, 17 Jan",vs Denver,L134-131 OT,9-34,Burks  25,Green  8,Russell  9,2019/2020,not qualified
"Sun, 19 Jan",vs Orlando,W109-95,10-34,Russell  26,Paschall  9,Russell  12,2019/2020,not qualified
"Tue, 21 Jan",@ Portland,L129-124 OT,10-35,Burks  33,Paschall  13,Russell  9,2019/2020,not qualified
"Thu, 23 Jan",vs Utah,L129-96,10-36,Russell  26,Chriss  8,Lee  4,2019/2020,not qualified
"Sat, 25 Jan",vs Indiana,L129-118,10-37,Russell  37,Robinson III  7,Green  11,2019/2020,not qualified
"Wed, 29 Jan",@ Philadelphia,L115-104,10-38,Russell  28,Green  9,Green  12,2019/2020,not qualified
"Fri, 31 Jan",@ Boston,L119-104,10-39,Russell  22,Lee  7,Green  7,2019/2020,not qualified
"Sun, 2 Feb",@ Cleveland,W131-112,11-39,Robinson III  22,Russell  7,Green  16,2019/2020,not qualified
"Tue, 4 Feb",@ Washington,W125-117,12-39,Burks  30,Paschall  10,Robinson III  7,2019/2020,not qualified
"Thu, 6 Feb",@ Brooklyn,L129-88,12-40,Russell  17,Chriss  7,Poole  4,2019/2020,not qualified
"Sun, 9 Feb",vs Los Angeles,L125-120,12-41,Chriss  26,Chriss  9,Bowman  11,2019/2020,not qualified
"Tue, 11 Feb",vs Miami,L113-101,12-42,Lee  26,Chriss  9,Green  9,2019/2020,not qualified
"Thu, 13 Feb",@ Phoenix,L112-106,12-43,Wiggins  27,Chriss  12,Green  9,2019/2020,not qualified
"Fri, 21 Feb",vs Houston,L135-105,12-44,Wiggins  22,Paschall  6,Green  7,2019/2020,not qualified
"Mon, 24 Feb",vs New Orleans,L115-101,12-45,Lee  22,Wiggins  10,Bowman  7,2019/2020,not qualified
"Wed, 26 Feb",vs Sacramento,L112-94,12-46,Chriss  21,Chriss  10,Lee  4,2019/2020,not qualified
"Fri, 28 Feb",vs Los Angeles,L116-86,12-47,Paschall  23,Chriss  7,Poole  8,2019/2020,not qualified
"Sun, 1 Mar",@ Phoenix,W115-99,13-47,Paschall  25,Bender  9,Lee  8,2019/2020,not qualified
"Mon, 2 Mar",vs Washington,L124-110,13-48,Wiggins  27,Chriss  13,Poole  7,2019/2020,not qualified
"Wed, 4 Mar",@ Denver,W116-100,14-48,Wiggins  22,Wiggins  5,Wiggins  10,2019/2020,not qualified
"Fri, 6 Mar",vs Toronto,L121-113,14-49,Curry  23,Chriss  12,Paschall  8,2019/2020,not qualified
"Sun, 8 Mar",vs Philadelphia,W118-114,15-49,Lee  24,Chriss  10,Chriss  8,2019/2020,not qualified
"Wed, 23 Dec",@ Brooklyn,L125-99,0-1,Curry  20,Chriss  8,Curry  10,2020/2021,not qualified
"Fri, 25 Dec",@ Milwaukee,L138-99,0-2,Curry  19,Wiseman  8,Curry  6,2020/2021,not qualified
"Mon, 28 Dec",@ Chicago,W129-128,1-2,Curry  36,Oubre Jr.  11,Curry  6,2020/2021,not qualified
"Wed, 30 Dec",@ Detroit,W116-106,2-2,Curry  31,Wiggins  7,Curry  6,2020/2021,not qualified
"Sat, 2 Jan",vs Portland,L123-98,2-3,Curry  26,Curry  8,Curry  5,2020/2021,not qualified
"Mon, 4 Jan",vs Portland,W137-122,3-3,Curry  62,Wiseman  11,Green  8,2020/2021,not qualified
"Tue, 5 Jan",vs Sacramento,W137-106,4-3,Curry  30,Curry  9,Curry  8,2020/2021,not qualified
"Thu, 7 Jan",vs LA,L108-101,4-4,Paschall  19,Green  6,Green  6,2020/2021,not qualified
"Sat, 9 Jan",vs LA,W115-105,5-4,Curry  38,Wiggins  6,Curry  11,2020/2021,not qualified
"Mon, 11 Jan",vs Toronto,W106-105,6-4,Wiggins  17,Curry  9,Green  10,2020/2021,not qualified
"Wed, 13 Jan",vs Indiana,L104-95,6-5,Wiggins  22,Wiseman  9,Green  10,2020/2021,not qualified
"Fri, 15 Jan",@ Denver,L114-104,6-6,Curry  35,Curry  11,Green  7,2020/2021,not qualified
"Sat, 16 Jan",@ Phoenix,Postponed,,,,,2020/2021,not qualified
"Tue, 19 Jan",@ Los Angeles,W115-113,7-6,Curry  26,Green  8,Green  9,2020/2021,not qualified
"Thu, 21 Jan",vs San Antonio,W121-99,8-6,Curry  26,Curry  11,Curry  7,2020/2021,not qualified
"Fri, 22 Jan",vs New York,L119-104,8-7,Curry  30,Wiggins  9,Green  8,2020/2021,not qualified
"Sun, 24 Jan",@ Utah,L127-108,8-8,Curry  24,Curry  7,Curry  7,2020/2021,not qualified
"Tue, 26 Jan",vs Minnesota,W130-108,9-8,Curry  36,Wiggins  6,Oubre Jr.  4,2020/2021,not qualified
"Thu, 28 Jan",vs Minnesota,W123-111,10-8,Wiseman  25,Looney  10,Curry  8,2020/2021,not qualified
"Fri, 29 Jan",@ Phoenix,L114-93,10-9,Curry  27,Wiseman  6,Green  6,2020/2021,not qualified
"Sun, 31 Jan",vs Detroit,W118-91,11-9,Curry  28,Wiseman  9,Curry  7,2020/2021,not qualified
"Wed, 3 Feb",vs Boston,L111-107,11-10,Curry  38,Curry  11,Curry  8,2020/2021,not qualified
"Fri, 5 Feb",@ Dallas,W147-116,12-10,Oubre Jr.  40,Oubre Jr.  8,Green  15,2020/2021,not qualified
"Sun, 7 Feb",@ Dallas,L134-132,12-11,Curry  57,Toscano-Anderson  10,Green  15,2020/2021,not qualified
"Tue, 9 Feb",@ San Antonio,L105-100,12-12,Curry  32,Toscano-Anderson  11,Green  10,2020/2021,not qualified
"Wed, 10 Feb",@ San Antonio,W114-91,13-12,Curry  32,Oubre Jr.  10,Green  11,2020/2021,not qualified
"Fri, 12 Feb",vs Orlando,W111-105,14-12,Curry  40,Oubre Jr.  10,Green  11,2020/2021,not qualified
"Sun, 14 Feb",vs Brooklyn,L134-117,14-13,Curry  27,Oubre Jr.  10,Green  8,2020/2021,not qualified
"Tue, 16 Feb",vs Cleveland,W129-98,15-13,Curry  36,Paschall  8,Green  16,2020/2021,not qualified
"Thu, 18 Feb",vs Miami,W120-112 OT,16-13,Bazemore  26,Bazemore  8,Curry  11,2020/2021,not qualified
"Sat, 20 Feb",@ Orlando,L124-120,16-14,Curry  29,Curry  7,Curry  11,2020/2021,not qualified
"Sun, 21 Feb",@ Charlotte,L102-100,16-15,Oubre Jr.  25,Green  7,Wanamaker  5,2020/2021,not qualified
"Wed, 24 Feb",@ New York,W114-106,17-15,Curry  37,Green  9,Green  12,2020/2021,not qualified
"Thu, 25 Feb",@ Indiana,W111-107,18-15,Curry  24,Green  9,Green  11,2020/2021,not qualified
"Sat, 27 Feb",vs Charlotte,W130-121,19-15,Curry  29,Green  12,Green  19,2020/2021,not qualified
"Mon, 1 Mar",@ Los Angeles,L117-91,19-16,Paschall  18,Wiseman  8,Curry  7,2020/2021,not qualified
"Thu, 4 Mar",@ Portland,L108-106,19-17,Curry  35,Green  9,Green  12,2020/2021,not qualified
"Fri, 5 Mar",@ Phoenix,L120-98,39-33,Poole  26,Wiseman  11,Mannion  6,2020/2021,not qualified
"Fri, 12 Mar",@ LA,L130-104,19-19,Wiggins  15,Wiggins  8,Poole  4,2020/2021,not qualified
"Sun, 14 Mar",vs Utah,W131-119,20-19,Curry  32,Green  12,Green  12,2020/2021,not qualified
"Tue, 16 Mar",vs Los Angeles,L128-97,20-20,Curry  27,Wiseman  8,Green  6,2020/2021,not qualified
"Thu, 18 Mar",@ Houston,W108-94,21-20,Poole  23,Green  12,Green  10,2020/2021,not qualified
"Sat, 20 Mar",@ Memphis,W116-103,22-20,Wiggins  40,Green  11,Green  13,2020/2021,not qualified
"Sun, 21 Mar",@ Memphis,L111-103,22-21,Poole  26,Wiggins  9,Toscano-Anderson  6,2020/2021,not qualified
"Wed, 24 Mar",vs Philadelphia,L108-98,22-22,Oubre Jr.  24,Oubre Jr.  10,Green  6,2020/2021,not qualified
"Fri, 26 Mar",@ Sacramento,L141-119,22-23,Wiggins  26,Wiggins  10,Poole  5,2020/2021,not qualified
"Sat, 27 Mar",vs Atlanta,L124-108,22-24,Wiggins  29,Wiggins  7,Green  9,2020/2021,not qualified
"Tue, 30 Mar",vs Chicago,W116-102,23-24,Curry  32,Oubre Jr.  11,Green  9,2020/2021,not qualified
"Fri, 2 Apr",@ Miami,L116-109,23-25,Curry  36,Curry  11,Green  8,2020/2021,not qualified
"Sat, 3 Apr",@ Toronto,L130-77,23-26,Wiggins  15,Oubre Jr.  7,Mannion  4,2020/2021,not qualified
"Mon, 5 Apr",@ Atlanta,L117-111,23-27,Curry  37,Oubre Jr.  11,Green  11,2020/2021,not qualified
"Wed, 7 Apr",vs Milwaukee,W122-121,24-27,Curry  41,Wiseman  10,Green  8,2020/2021,not qualified
"Sat, 10 Apr",vs Washington,L110-107,24-28,,,,2020/2021,not qualified
"Sun, 11 Apr",vs Houston,W125-109,25-28,,,,2020/2021,not qualified
"Tue, 13 Apr",vs Denver,W116-107,26-28,,,,2020/2021,not qualified
"Thu, 15 Apr",@ Oklahoma City,W147-109,27-28,,,,2020/2021,not qualified
"Fri, 16 Apr",@ Cleveland,W119-101,28-28,,,,2020/2021,not qualified
"Sun, 18 Apr",@ Boston,L119-114,28-29,,,,2020/2021,not qualified
"Tue, 20 Apr",@ Philadelphia,W107-96,29-29,,,,2020/2021,not qualified
"Thu, 22 Apr",@ Washington,L118-114,29-30,,,,2020/2021,not qualified
"Sat, 24 Apr",vs Denver,W118-97,30-30,,,,2020/2021,not qualified
"Mon, 26 Apr",vs Sacramento,W117-113,31-30,,,,2020/2021,not qualified
"Wed, 28 Apr",vs Dallas,L133-103,31-31,,,,2020/2021,not qualified
"Fri, 30 Apr",@ Minnesota,L126-114,31-32,,,,2020/2021,not qualified
"Sun, 2 May",@ Houston,W113-87,32-32,,,,2020/2021,not qualified
"Tue, 4 May",@ New Orleans,W123-108,33-32,,,,2020/2021,not qualified
"Wed, 5 May",@ New Orleans,L108-103,33-33,,,,2020/2021,not qualified
"Fri, 7 May",vs Oklahoma City,W118-97,34-33,,,,2020/2021,not qualified
"Sun, 9 May",vs Oklahoma City,W136-97,35-33,,,,2020/2021,not qualified
"Tue, 11 May",vs Utah,W119-116,36-33,,,,2020/2021,not qualified
"Wed, 12 May",vs Phoenix,W122-116,39-33,,,,2020/2021,not qualified
"Sat, 15 May",vs New Orleans,W125-122,39-33,,,,2020/2021,not qualified
"Wed, 20 Oct",@ Los Angeles,W121-114,1-0,Curry  21,Bjelica  11,Curry  10,2021/2022,qualified
"Fri, 22 Oct",vs LA,W115-113,2-0,Curry  45,Curry  10,Green  7,2021/2022,qualified
"Mon, 25 Oct",@ Sacramento,W119-107,3-0,Curry  27,Porter Jr.  9,Curry  10,2021/2022,qualified
"Wed, 27 Oct",@ Oklahoma City,W106-98,4-0,Curry  23,Green  9,Green  8,2021/2022,qualified
"Fri, 29 Oct",vs Memphis,L104-101 OT,4-1,Curry  36,Green  12,Curry  8,2021/2022,qualified
"Sun, 31 Oct",vs Oklahoma City,W103-82,5-1,Curry  20,Green  11,Green  8,2021/2022,qualified
"Thu, 4 Nov",vs Charlotte,W114-92,6-1,Poole  31,Green  10,Curry  9,2021/2022,qualified
"Sat, 6 Nov",vs New Orleans,W126-85,7-1,Poole  26,Green  8,Iguodala  10,2021/2022,qualified
"Mon, 8 Nov",vs Houston,W120-107,8-1,Poole  25,Porter Jr.  9,Green  9,2021/2022,qualified
"Tue, 9 Nov",vs Atlanta,W127-113,9-1,Curry  50,Curry  7,Curry  10,2021/2022,qualified
"Thu, 11 Nov",vs Minnesota,W123-110,10-1,Wiggins  35,Looney  17,Iguodala  8,2021/2022,qualified
"Sat, 13 Nov",vs Chicago,W119-93,11-1,Curry  40,Looney  10,Green  7,2021/2022,qualified
"Mon, 15 Nov",@ Charlotte,L106-102,11-2,Wiggins  28,Looney  8,Curry  10,2021/2022,qualified
"Wed, 17 Nov",@ Brooklyn,W117-99,12-2,Curry  37,Curry  7,Green  8,2021/2022,qualified
"Fri, 19 Nov",@ Cleveland,W104-89,13-2,Curry  40,Lee  6,Green  14,2021/2022,qualified
"Sat, 20 Nov",@ Detroit,W105-102,14-2,Poole  32,Looney  12,Toscano-Anderson  9,2021/2022,qualified
"Mon, 22 Nov",vs Toronto,W119-104,15-2,Poole  33,Green  14,Curry  8,2021/2022,qualified
"Thu, 25 Nov",vs Philadelphia,W116-96,16-2,Curry  25,Green  9,Curry  10,2021/2022,qualified
"Sat, 27 Nov",vs Portland,W118-103,17-2,Curry  32,Green  8,Green  12,2021/2022,qualified
"Sun, 28 Nov",@ LA,W105-90,18-2,Curry  33,Porter Jr.  10,Green  7,2021/2022,qualified
"Wed, 1 Dec",@ Phoenix,L104-96,18-3,Poole  28,Green  11,Green  5,2021/2022,qualified
"Sat, 4 Dec",vs Phoenix,W118-96,19-3,Curry  23,Green  9,Green  9,2021/2022,qualified
"Sun, 5 Dec",vs San Antonio,L112-107,19-4,Curry  27,Curry  8,Green  9,2021/2022,qualified
"Tue, 7 Dec",vs Orlando,W126-95,20-4,Curry  31,Poole  7,Curry  8,2021/2022,qualified
"Thu, 9 Dec",vs Portland,W104-94,21-4,Curry  22,Green  10,Green  8,2021/2022,qualified
"Sun, 12 Dec",@ Philadelphia,L102-93,21-5,Poole  23,Curry  9,Curry  5,2021/2022,qualified
"Tue, 14 Dec",@ Indiana,W102-100,22-5,Curry  26,Green  9,Curry  6,2021/2022,qualified
"Wed, 15 Dec",@ New York,W105-96,23-5,Curry  22,Green  11,Green  7,2021/2022,qualified
"Sat, 18 Dec",@ Boston,W111-107,24-5,Curry  30,Looney  10,Green  8,2021/2022,qualified
"Sun, 19 Dec",@ Toronto,L119-100,24-6,Kuminga  26,Toscano-Anderson  10,Chiozza  7,2021/2022,qualified
"Tue, 21 Dec",vs Sacramento,W113-98,25-6,Curry  30,Green  11,Green  10,2021/2022,qualified
"Fri, 24 Dec",vs Memphis,W113-104,26-6,Curry  46,Porter Jr.  9,Green  9,2021/2022,qualified
"Sat, 25 Dec",@ Phoenix,W116-107,27-6,Curry  33,Looney  10,Green  10,2021/2022,qualified
"Wed, 29 Dec",vs Denver,L89-86,27-7,Curry  23,Wiggins  8,Curry  4,2021/2022,qualified
"Fri, 31 Dec",@ Denver,Postponed,,,,,2021/2022,qualified
"Sun, 2 Jan",@ Utah,W123-116,28-7,Curry  28,Porter Jr.  7,Curry  9,2021/2022,qualified
"Tue, 4 Jan",vs Miami,W115-108,29-7,Poole  32,Green  8,Green  13,2021/2022,qualified
"Thu, 6 Jan",@ Dallas,L99-82,29-8,Wiggins  17,Payton II  11,Curry  5,2021/2022,qualified
"Fri, 7 Jan",@ New Orleans,L101-96,29-9,Wiggins  21,Looney  9,Iguodala  7,2021/2022,qualified
"Mon, 10 Jan",vs Cleveland,W96-82,30-9,Curry  28,Looney  18,Curry  5,2021/2022,qualified
"Wed, 12 Jan",@ Memphis,L116-108,30-10,Curry  27,Curry  10,Curry  10,2021/2022,qualified
"Fri, 14 Jan",@ Milwaukee,L118-99,30-11,Wiggins  16,Curry  8,Curry  4,2021/2022,qualified
"Sat, 15 Jan",@ Chicago,W138-96,31-11,Kuminga  25,Looney  12,Bjelica  7,2021/2022,qualified
"Mon, 17 Jan",@ Minnesota,L119-99,31-12,Poole  20,Looney  12,Porter Jr.  4,2021/2022,qualified
"Wed, 19 Jan",vs Detroit,W102-86,32-12,Thompson  21,Kuminga  10,Curry  8,2021/2022,qualified
"Fri, 21 Jan",vs Indiana,L121-117 OT,32-13,Curry  39,Looney  15,Curry  8,2021/2022,qualified
"Sat, 22 Jan",vs Houston,W105-103,33-13,Curry  22,Looney  12,Curry  12,2021/2022,qualified
"Mon, 24 Jan",vs Utah,W94-92,34-13,Poole  20,Porter Jr.  8,Curry  6,2021/2022,qualified
"Wed, 26 Jan",vs Dallas,W130-92,35-13,Kuminga  22,Bjelica  10,Curry  7,2021/2022,qualified
"Fri, 28 Jan",vs Minnesota,W124-115,36-13,Curry  29,Curry  8,Curry  6,2021/2022,qualified
"Sun, 30 Jan",vs Brooklyn,W110-106,37-13,Wiggins  24,Looney  15,Curry  8,2021/2022,qualified
"Tue, 1 Feb",@ Houston,W122-108,38-13,Curry  40,Looney  14,Curry  9,2021/2022,qualified
"Wed, 2 Feb",@ San Antonio,W124-120,39-13,Poole  31,Looney  12,Toscano-Anderson  7,2021/2022,qualified
"Fri, 4 Feb",vs Sacramento,W126-114,40-13,Thompson  23,Kuminga  7,Thompson  7,2021/2022,qualified
"Tue, 8 Feb",@ Oklahoma City,W110-98,41-13,Thompson  21,Curry  9,Curry  10,2021/2022,qualified
"Thu, 10 Feb",@ Utah,L111-85,41-14,Poole  18,Curry  7,Wiggins  4,2021/2022,qualified
"Fri, 11 Feb",vs New York,L116-114,41-15,Curry  35,Thompson  7,Curry  10,2021/2022,qualified
"Sun, 13 Feb",vs Los Angeles,W117-115,42-15,Thompson  33,Looney  12,Curry  8,2021/2022,qualified
"Tue, 15 Feb",@ LA,L119-104,42-16,Curry  33,Porter Jr.  8,Looney  5,2021/2022,qualified
"Thu, 17 Feb",vs Denver,L117-116,42-17,Curry  25,Looney  9,Curry  6,2021/2022,qualified
"Fri, 25 Feb",@ Portland,W132-95,43-17,Curry  18,Kuminga  8,Curry  14,2021/2022,qualified
"Mon, 28 Feb",vs Dallas,L107-101,43-18,Curry  27,Looney  10,Curry  10,2021/2022,qualified
"Wed, 2 Mar",@ Minnesota,L129-114,43-19,Curry  34,Wiggins  7,Looney  5,2021/2022,qualified
"Fri, 4 Mar",@ Dallas,L122-113,43-20,Poole  23,Looney  9,Curry  9,2021/2022,qualified
"Sun, 6 Mar",@ Los Angeles,L124-116,43-21,Curry  30,Porter Jr.  10,Poole  5,2021/2022,qualified
"Tue, 8 Mar",@ Denver,L131-124,43-22,Poole  32,Looney  11,Chiozza  8,2021/2022,qualified
"Wed, 9 Mar",vs LA,W112-97,44-22,Kuminga  21,Wiggins  11,Kuminga  6,2021/2022,qualified
"Fri, 11 Mar",@ Denver,W113-102,45-22,Curry  34,Curry  9,Poole  7,2021/2022,qualified
"Sun, 13 Mar",vs Milwaukee,W122-109,46-22,Thompson  38,Kuminga  11,Curry  8,2021/2022,qualified
"Tue, 15 Mar",vs Washington,W126-112,47-22,Curry  47,Kuminga  8,Curry  6,2021/2022,qualified
"Thu, 17 Mar",vs Boston,L110-88,47-23,Poole  29,Looney  8,Looney  4,2021/2022,qualified
"Mon, 21 Mar",vs San Antonio,L110-108,47-24,Poole  28,Porter Jr.  16,Bjelica  6,2021/2022,qualified
"Tue, 22 Mar",@ Orlando,L94-90,47-25,Poole  26,Porter Jr.  15,Green  7,2021/2022,qualified
"Wed, 23 Mar",@ Miami,W118-104,48-25,Poole  30,Looney  16,Poole  9,2021/2022,qualified
"Fri, 25 Mar",@ Atlanta,L121-110,48-26,Thompson  37,Looney  8,Poole  10,2021/2022,qualified
"Sun, 27 Mar",@ Washington,L123-115,48-27,Poole  26,Porter Jr.  11,Green  6,2021/2022,qualified
"Tue, 29 Mar",@ Memphis,L123-95,48-28,Poole  25,Kuminga  7,Kuminga  4,2021/2022,qualified
"Thu, 31 Mar",vs Phoenix,L107-103,48-29,Poole  38,Green  10,Poole  7,2021/2022,qualified
"Sun, 3 Apr",vs Utah,W111-107,49-29,Thompson  36,Green  9,Green  7,2021/2022,qualified
"Mon, 4 Apr",@ Sacramento,W109-90,50-29,Wiggins  25,Bjelica  12,Bjelica  6,2021/2022,qualified
"Fri, 8 Apr",vs Los Angeles,W128-112,51-29,Thompson  33,Porter Jr.  8,Poole  11,2021/2022,qualified
"Sun, 10 Apr",@ San Antonio,W100-94,52-29,Poole  18,Green  13,Poole  8,2021/2022,qualified
