DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Sun, 11 Nov",vs Denver,L107-101 2OT,3-4,Thompson  23,Landry  9,Lee  5,2012/2013,qualified
"Thu, 15 Nov",vs Atlanta,W92-88,4-4,Barnes  19,Barnes  13,Curry  7,2012/2013,qualified
"Sat, 17 Nov",@ Minnesota,W106-98,5-4,Lee  18,Lee  13,Curry  6,2012/2013,qualified
"Mon, 19 Nov",@ Oklahoma City,L119-109,5-5,Curry  22,Lee  10,Curry  6,2012/2013,qualified
"Tue, 20 Nov",@ Dallas,W105-101 OT,6-5,Curry  31,Lee  19,Curry  9,2012/2013,qualified
"Thu, 22 Nov",vs Brooklyn,W102-93,7-5,Curry  25,Lee  13,Jack  9,2012/2013,qualified
"Sat, 24 Nov",@ Denver,L102-91,7-6,Lee  21,Lee  10,Landry  4,2012/2013,qualified
"Sun, 25 Nov",vs Minnesota,W96-85,8-6,Thompson  24,Barnes  11,Curry  6,2012/2013,qualified
"Fri, 30 Nov",vs Denver,W106-105,9-6,Lee  31,Lee  9,Curry  10,2012/2013,qualified
"Sun, 2 Dec",vs Indiana,W103-92,10-6,Thompson  22,Lee  12,Curry  11,2012/2013,qualified
"Tue, 4 Dec",vs Orlando,L102-94,10-7,Curry  25,Landry  10,Curry  11,2012/2013,qualified
"Thu, 6 Dec",@ Detroit,W104-97,11-7,Thompson  27,Lee  11,Curry  10,2012/2013,qualified
"Sat, 8 Dec",@ Brooklyn,W109-102,12-7,Lee  30,Lee  15,Jack  8,2012/2013,qualified
"Sun, 9 Dec",@ Washington,W101-97,13-7,Lee  24,Lee  17,Thompson  5,2012/2013,qualified
"Tue, 11 Dec",@Charlotte,W104-96,14-7,Curry  27,Lee  11,Curry  7,2012/2013,qualified
"Thu, 13 Dec",@ Miami,W97-95,15-7,Thompson  27,Lee  14,Curry  7,2012/2013,qualified
"Sat, 15 Dec",@ Orlando,L99-85,15-8,Curry  25,Lee  15,Jack  6,2012/2013,qualified
"Sun, 16 Dec",@ Atlanta,W115-93,16-8,Lee  20,Lee  11,Curry  11,2012/2013,qualified
"Wed, 19 Dec",vsNew Orleans,W103-96,17-8,Lee  26,Lee  9,Jack  10,2012/2013,qualified
"Thu, 20 Dec",@ Sacramento,L131-127,17-9,Curry  32,Lee  8,Lee  5,2012/2013,qualified
"Sat, 22 Dec",vsCharlotte,W115-100,18-9,Curry  27,Lee  11,Lee  11,2012/2013,qualified
