date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Wed, 10 Feb",San Antonio,W114-91,13-12,Oubre Jr.  10,Green  11,2020/2021,Curry,32
"Fri, 12 Feb",Orlando,W111-105,14-12,Oubre Jr.  10,Green  11,2020/2021,Curry,40
"Sun, 14 Feb",Brooklyn,L134-117,14-13,Oubre Jr.  10,Green  8,2020/2021,Curry,27
"Tue, 16 Feb",Cleveland,W129-98,15-13,Paschall  8,Green  16,2020/2021,Curry,36
"Thu, 18 Feb",Miami,W120-112 OT,16-13,Bazemore  8,Curry  11,2020/2021,Bazemore,26
"Sat, 20 Feb",Orlando,L124-120,16-14,Curry  7,Curry  11,2020/2021,Curry,29
"Sun, 21 Feb",Charlotte,L102-100,16-15,Green  7,Wanamaker  5,2020/2021,Oubre Jr.,25
"Wed, 24 Feb",New York,W114-106,17-15,Green  9,Green  12,2020/2021,Curry,37
"Thu, 25 Feb",Indiana,W111-107,18-15,Green  9,Green  11,2020/2021,Curry,24
"Sat, 27 Feb",Charlotte,W130-121,19-15,Green  12,Green  19,2020/2021,Curry,29
"Mon, 1 Mar",Los Angeles,L117-91,19-16,Wiseman  8,Curry  7,2020/2021,Paschall,18
"Thu, 4 Mar",Portland,L108-106,19-17,Green  9,Green  12,2020/2021,Curry,35
"Fri, 5 Mar",Phoenix,L120-98,39-33,Wiseman  11,Mannion  6,2020/2021,Poole,26
"Fri, 12 Mar",Los Angeles,L130-104,19-19,Wiggins  8,Poole  4,2020/2021,Wiggins,15
"Sun, 14 Mar",Utah,W131-119,20-19,Green  12,Green  12,2020/2021,Curry,32
"Tue, 16 Mar",Los Angeles,L128-97,20-20,Wiseman  8,Green  6,2020/2021,Curry,27
"Thu, 18 Mar",Houston,W108-94,21-20,Green  12,Green  10,2020/2021,Poole,23
"Sat, 20 Mar",Memphis,W116-103,22-20,Green  11,Green  13,2020/2021,Wiggins,40
"Sun, 21 Mar",Memphis,L111-103,22-21,Wiggins  9,Toscano-Anderson  6,2020/2021,Poole,26
"Wed, 24 Mar",Philadelphia,L108-98,22-22,Oubre Jr.  10,Green  6,2020/2021,Oubre Jr.,24
"Fri, 26 Mar",Sacramento,L141-119,22-23,Wiggins  10,Poole  5,2020/2021,Wiggins,26
"Sat, 27 Mar",Atlanta,L124-108,22-24,Wiggins  7,Green  9,2020/2021,Wiggins,29
"Tue, 30 Mar",Chicago,W116-102,23-24,Oubre Jr.  11,Green  9,2020/2021,Curry,32
"Fri, 2 Apr",Miami,L116-109,23-25,Curry  11,Green  8,2020/2021,Curry,36
"Sat, 3 Apr",Toronto,L130-77,23-26,Oubre Jr.  7,Mannion  4,2020/2021,Wiggins,15
"Mon, 5 Apr",Atlanta,L117-111,23-27,Oubre Jr.  11,Green  11,2020/2021,Curry,37
"Wed, 7 Apr",Milwaukee,W122-121,24-27,Wiseman  10,Green  8,2020/2021,Curry,41
"Sat, 10 Apr",Washington,L110-107,24-28,,,2020/2021,,
"Sun, 11 Apr",Houston,W125-109,25-28,,,2020/2021,,
"Tue, 13 Apr",Denver,W116-107,26-28,,,2020/2021,,
"Thu, 15 Apr",Oklahoma City,W147-109,27-28,,,2020/2021,,
"Fri, 16 Apr",Cleveland,W119-101,28-28,,,2020/2021,,
"Sun, 18 Apr",Boston,L119-114,28-29,,,2020/2021,,
"Tue, 20 Apr",Philadelphia,W107-96,29-29,,,2020/2021,,
"Thu, 22 Apr",Washington,L118-114,29-30,,,2020/2021,,
"Sat, 24 Apr",Denver,W118-97,30-30,,,2020/2021,,
"Mon, 26 Apr",Sacramento,W117-113,31-30,,,2020/2021,,
"Wed, 28 Apr",Dallas,L133-103,31-31,,,2020/2021,,
"Fri, 30 Apr",Minnesota,L126-114,31-32,,,2020/2021,,
"Sun, 2 May",Houston,W113-87,32-32,,,2020/2021,,
"Tue, 4 May",New Orleans,W123-108,33-32,,,2020/2021,,
"Wed, 5 May",New Orleans,L108-103,33-33,,,2020/2021,,
"Fri, 7 May",Oklahoma City,W118-97,34-33,,,2020/2021,,
"Sun, 9 May",Oklahoma City,W136-97,35-33,,,2020/2021,,
"Tue, 11 May",Utah,W119-116,36-33,,,2020/2021,,
"Wed, 12 May",Phoenix,W122-116,39-33,,,2020/2021,,
"Sat, 15 May",New Orleans,W125-122,39-33,,,2020/2021,,
"Wed, 20 Oct",Los Angeles,W121-114,1-0,Bjelica  11,Curry  10,2021/2022,Curry,21
"Fri, 22 Oct",Los Angeles,W115-113,2-0,Curry  10,Green  7,2021/2022,Curry,45
"Mon, 25 Oct",Sacramento,W119-107,3-0,Porter Jr.  9,Curry  10,2021/2022,Curry,27
"Wed, 27 Oct",Oklahoma City,W106-98,4-0,Green  9,Green  8,2021/2022,Curry,23
"Fri, 29 Oct",Memphis,L104-101 OT,4-1,Green  12,Curry  8,2021/2022,Curry,36
"Sun, 31 Oct",Oklahoma City,W103-82,5-1,Green  11,Green  8,2021/2022,Curry,20
"Thu, 4 Nov",Charlotte,W114-92,6-1,Green  10,Curry  9,2021/2022,Poole,31
"Sat, 6 Nov",New Orleans,W126-85,7-1,Green  8,Iguodala  10,2021/2022,Poole,26
"Mon, 8 Nov",Houston,W120-107,8-1,Porter Jr.  9,Green  9,2021/2022,Poole,25
"Tue, 9 Nov",Atlanta,W127-113,9-1,Curry  7,Curry  10,2021/2022,Curry,50
"Thu, 11 Nov",Minnesota,W123-110,10-1,Looney  17,Iguodala  8,2021/2022,Wiggins,35
"Sat, 13 Nov",Chicago,W119-93,11-1,Looney  10,Green  7,2021/2022,Curry,40
"Mon, 15 Nov",Charlotte,L106-102,11-2,Looney  8,Curry  10,2021/2022,Wiggins,28
"Wed, 17 Nov",Brooklyn,W117-99,12-2,Curry  7,Green  8,2021/2022,Curry,37
"Fri, 19 Nov",Cleveland,W104-89,13-2,Lee  6,Green  14,2021/2022,Curry,40
"Sat, 20 Nov",Detroit,W105-102,14-2,Looney  12,Toscano-Anderson  9,2021/2022,Poole,32
"Mon, 22 Nov",Toronto,W119-104,15-2,Green  14,Curry  8,2021/2022,Poole,33
"Thu, 25 Nov",Philadelphia,W116-96,16-2,Green  9,Curry  10,2021/2022,Curry,25
"Sat, 27 Nov",Portland,W118-103,17-2,Green  8,Green  12,2021/2022,Curry,32
"Sun, 28 Nov",Los Angeles,W105-90,18-2,Porter Jr.  10,Green  7,2021/2022,Curry,33
"Wed, 1 Dec",Phoenix,L104-96,18-3,Green  11,Green  5,2021/2022,Poole,28
"Sat, 4 Dec",Phoenix,W118-96,19-3,Green  9,Green  9,2021/2022,Curry,23
"Sun, 5 Dec",San Antonio,L112-107,19-4,Curry  8,Green  9,2021/2022,Curry,27
"Tue, 7 Dec",Orlando,W126-95,20-4,Poole  7,Curry  8,2021/2022,Curry,31
"Thu, 9 Dec",Portland,W104-94,21-4,Green  10,Green  8,2021/2022,Curry,22
"Sun, 12 Dec",Philadelphia,L102-93,21-5,Curry  9,Curry  5,2021/2022,Poole,23
"Tue, 14 Dec",Indiana,W102-100,22-5,Green  9,Curry  6,2021/2022,Curry,26
"Wed, 15 Dec",New York,W105-96,23-5,Green  11,Green  7,2021/2022,Curry,22
"Sat, 18 Dec",Boston,W111-107,24-5,Looney  10,Green  8,2021/2022,Curry,30
"Sun, 19 Dec",Toronto,L119-100,24-6,Toscano-Anderson  10,Chiozza  7,2021/2022,Kuminga,26
"Tue, 21 Dec",Sacramento,W113-98,25-6,Green  11,Green  10,2021/2022,Curry,30
"Fri, 24 Dec",Memphis,W113-104,26-6,Porter Jr.  9,Green  9,2021/2022,Curry,46
"Sat, 25 Dec",Phoenix,W116-107,27-6,Looney  10,Green  10,2021/2022,Curry,33
"Wed, 29 Dec",Denver,L89-86,27-7,Wiggins  8,Curry  4,2021/2022,Curry,23
"Fri, 31 Dec",Denver,Postponed,,,,2021/2022,,
"Sun, 2 Jan",Utah,W123-116,28-7,Porter Jr.  7,Curry  9,2021/2022,Curry,28
"Tue, 4 Jan",Miami,W115-108,29-7,Green  8,Green  13,2021/2022,Poole,32
"Thu, 6 Jan",Dallas,L99-82,29-8,Payton II  11,Curry  5,2021/2022,Wiggins,17
"Fri, 7 Jan",New Orleans,L101-96,29-9,Looney  9,Iguodala  7,2021/2022,Wiggins,21
"Mon, 10 Jan",Cleveland,W96-82,30-9,Looney  18,Curry  5,2021/2022,Curry,28
"Wed, 12 Jan",Memphis,L116-108,30-10,Curry  10,Curry  10,2021/2022,Curry,27
"Fri, 14 Jan",Milwaukee,L118-99,30-11,Curry  8,Curry  4,2021/2022,Wiggins,16
"Sat, 15 Jan",Chicago,W138-96,31-11,Looney  12,Bjelica  7,2021/2022,Kuminga,25
"Mon, 17 Jan",Minnesota,L119-99,31-12,Looney  12,Porter Jr.  4,2021/2022,Poole,20
"Wed, 19 Jan",Detroit,W102-86,32-12,Kuminga  10,Curry  8,2021/2022,Thompson,21
"Fri, 21 Jan",Indiana,L121-117 OT,32-13,Looney  15,Curry  8,2021/2022,Curry,39
"Sat, 22 Jan",Houston,W105-103,33-13,Looney  12,Curry  12,2021/2022,Curry,22
"Mon, 24 Jan",Utah,W94-92,34-13,Porter Jr.  8,Curry  6,2021/2022,Poole,20
"Wed, 26 Jan",Dallas,W130-92,35-13,Bjelica  10,Curry  7,2021/2022,Kuminga,22
"Fri, 28 Jan",Minnesota,W124-115,36-13,Curry  8,Curry  6,2021/2022,Curry,29
"Sun, 30 Jan",Brooklyn,W110-106,37-13,Looney  15,Curry  8,2021/2022,Wiggins,24
"Tue, 1 Feb",Houston,W122-108,38-13,Looney  14,Curry  9,2021/2022,Curry,40
"Wed, 2 Feb",San Antonio,W124-120,39-13,Looney  12,Toscano-Anderson  7,2021/2022,Poole,31
"Fri, 4 Feb",Sacramento,W126-114,40-13,Kuminga  7,Thompson  7,2021/2022,Thompson,23
"Tue, 8 Feb",Oklahoma City,W110-98,41-13,Curry  9,Curry  10,2021/2022,Thompson,21
"Thu, 10 Feb",Utah,L111-85,41-14,Curry  7,Wiggins  4,2021/2022,Poole,18
"Fri, 11 Feb",New York,L116-114,41-15,Thompson  7,Curry  10,2021/2022,Curry,35
"Sun, 13 Feb",Los Angeles,W117-115,42-15,Looney  12,Curry  8,2021/2022,Thompson,33
"Tue, 15 Feb",Los Angeles,L119-104,42-16,Porter Jr.  8,Looney  5,2021/2022,Curry,33
"Thu, 17 Feb",Denver,L117-116,42-17,Looney  9,Curry  6,2021/2022,Curry,25
"Fri, 25 Feb",Portland,W132-95,43-17,Kuminga  8,Curry  14,2021/2022,Curry,18
"Mon, 28 Feb",Dallas,L107-101,43-18,Looney  10,Curry  10,2021/2022,Curry,27
"Wed, 2 Mar",Minnesota,L129-114,43-19,Wiggins  7,Looney  5,2021/2022,Curry,34
"Fri, 4 Mar",Dallas,L122-113,43-20,Looney  9,Curry  9,2021/2022,Poole,23
"Sun, 6 Mar",Los Angeles,L124-116,43-21,Porter Jr.  10,Poole  5,2021/2022,Curry,30
"Tue, 8 Mar",Denver,L131-124,43-22,Looney  11,Chiozza  8,2021/2022,Poole,32
"Wed, 9 Mar",Los Angeles,W112-97,44-22,Wiggins  11,Kuminga  6,2021/2022,Kuminga,21
"Fri, 11 Mar",Denver,W113-102,45-22,Curry  9,Poole  7,2021/2022,Curry,34
"Sun, 13 Mar",Milwaukee,W122-109,46-22,Kuminga  11,Curry  8,2021/2022,Thompson,38
"Tue, 15 Mar",Washington,W126-112,47-22,Kuminga  8,Curry  6,2021/2022,Curry,47
"Thu, 17 Mar",Boston,L110-88,47-23,Looney  8,Looney  4,2021/2022,Poole,29
"Mon, 21 Mar",San Antonio,L110-108,47-24,Porter Jr.  16,Bjelica  6,2021/2022,Poole,28
"Tue, 22 Mar",Orlando,L94-90,47-25,Porter Jr.  15,Green  7,2021/2022,Poole,26
"Wed, 23 Mar",Miami,W118-104,48-25,Looney  16,Poole  9,2021/2022,Poole,30
"Fri, 25 Mar",Atlanta,L121-110,48-26,Looney  8,Poole  10,2021/2022,Thompson,37
"Sun, 27 Mar",Washington,L123-115,48-27,Porter Jr.  11,Green  6,2021/2022,Poole,26
"Tue, 29 Mar",Memphis,L123-95,48-28,Kuminga  7,Kuminga  4,2021/2022,Poole,25
"Thu, 31 Mar",Phoenix,L107-103,48-29,Green  10,Poole  7,2021/2022,Poole,38
"Sun, 3 Apr",Utah,W111-107,49-29,Green  9,Green  7,2021/2022,Thompson,36
"Mon, 4 Apr",Sacramento,W109-90,50-29,Bjelica  12,Bjelica  6,2021/2022,Wiggins,25
"Fri, 8 Apr",Los Angeles,W128-112,51-29,Porter Jr.  8,Poole  11,2021/2022,Thompson,33
"Sun, 10 Apr",San Antonio,W100-94,52-29,Green  13,Poole  8,2021/2022,Poole,18
