date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Mon, 13 Feb",Houston,W106-97,10-14,Lee  13,Ellis  7,2011/2012,Ellis,33
"Tue, 14 Feb",Phoenix,W102-96,11-14,Lee  12,Curry  5,2011/2012,Lee,28
"Thu, 16 Feb",Portland,L93-91,11-15,Lee  11,Curry  8,2011/2012,Lee,29
"Sat, 18 Feb",Oklahoma City,L110-87,11-16,Wright  11,Curry  4,2011/2012,Lee,23
"Sun, 19 Feb",Memphis,L104-103,11-17,Lee  9,Curry  6,2011/2012,Curry,36
"Tue, 21 Feb",Los Angeles,W104-97,12-17,Lee  13,Curry  6,2011/2012,Ellis,32
"Thu, 23 Feb",Phoenix,W106-104,13-17,McGuire  9,Ellis  6,2011/2012,Ellis,26
"Wed, 29 Feb",Indiana,L102-78,13-18,Rush  7,Lee  4,2011/2012,Rush,14
"Thu, 1 Mar",Atlanta,W85-82,14-18,McGuire  15,Ellis  8,2011/2012,Ellis,24
"Sat, 3 Mar",Philadelphia,L105-83,14-19,Lee  15,Ellis  7,2011/2012,Lee,24
"Sun, 4 Mar",Toronto,L83-75,14-20,Lee  12,Ellis  7,2011/2012,Lee,22
"Tue, 6 Mar",Washington,W120-100,15-20,Lee  10,Ellis  8,2011/2012,Ellis,25
"Thu, 8 Mar",Memphis,L110-92,15-21,Thompson  6,Udoh  4,2011/2012,Thompson,16
"Sun, 11 Mar",Dallas,W111-87,16-21,Lee  9,Ellis  8,2011/2012,Lee,25
"Mon, 12 Mar",Los Angeles,W97-93,17-21,Lee  10,Ellis  11,2011/2012,Ellis,21
"Wed, 14 Mar",Sacramento,W115-89,18-21,Wright  10,Thompson  5,2011/2012,Lee,17
"Thu, 15 Mar",Boston,L105-103,18-22,Lee  8,Robinson  11,2011/2012,Thompson,26
"Sat, 17 Mar",Milwaukee,L120-98,18-23,Lee  9,Robinson  6,2011/2012,Lee,22
"Sun, 18 Mar",Utah,L99-92 OT,18-24,Wright  10,Robinson  4,2011/2012,Robinson,19
"Tue, 20 Mar",Minnesota,L97-93,18-25,Lee  9,Robinson  7,2011/2012,Lee,25
"Thu, 22 Mar",New Orleans,W101-92,19-25,Lee  11,Robinson  10,2011/2012,Thompson,27
"Fri, 23 Mar",Houston,L109-83,19-26,McGuire  6,Jenkins  6,2011/2012,Jefferson,14
"Sun, 25 Mar",Sacramento,W111-108,20-26,Lee  14,Lee  9,2011/2012,Thompson,31
"Mon, 26 Mar",Portland,L90-87,20-27,Lee  16,Jenkins  6,2011/2012,Jenkins,27
"Wed, 28 Mar",Los Angeles,L104-101,20-28,Lee  9,Thompson  7,2011/2012,Lee,23
"Thu, 29 Mar",New Orleans,L102-87,20-29,Lee  7,Robinson  6,2011/2012,Lee,28
"Sat, 31 Mar",New Jersey,L102-100,20-30,McGuire  9,Jenkins  12,2011/2012,Lee,27
"Mon, 2 Apr",Los Angeles,L120-112,20-31,Lee  6,Lee  7,2011/2012,Lee,27
"Wed, 4 Apr",Memphis,L98-94,20-32,Lee  13,Robinson  5,2011/2012,Lee,22
"Thu, 5 Apr",Minnesota,W97-94,21-32,Lee  8,Jenkins  7,2011/2012,Lee,31
"Sat, 7 Apr",Utah,L104-98,21-33,Lee  12,Jenkins  7,2011/2012,Lee,26
"Sun, 8 Apr",Denver,W112-97,22-33,Lee  9,Jenkins  8,2011/2012,Rush,20
"Tue, 10 Apr",Denver,L123-84,22-34,Gladness  5,Robinson  5,2011/2012,Thompson,17
"Thu, 12 Apr",Portland,L118-110,22-35,Lee  14,Robinson  8,2011/2012,Lee,21
"Fri, 13 Apr",Dallas,L112-103,22-36,Lee  8,Thompson  8,2011/2012,Lee,30
"Sat, 14 Apr",Los Angeles,L112-104,22-37,McGuire  11,Robinson  8,2011/2012,Robinson,28
"Tue, 17 Apr",San Antonio,L120-99,22-38,Tyler  10,Robinson  7,2011/2012,Robinson,30
"Thu, 19 Apr",Los Angeles,L99-87,22-39,Wright  7,Jenkins  11,2011/2012,Thompson,17
"Sat, 21 Apr",Dallas,L104-94,22-40,Rush  8,Jenkins  10,2011/2012,Thompson,26
"Sun, 22 Apr",Houston,L99-96,22-41,Rush  7,Jenkins  8,2011/2012,Thompson,24
"Mon, 23 Apr",Minnesota,W93-88,23-41,Rush  9,Jenkins  9,2011/2012,Jenkins,24
"Wed, 25 Apr",New Orleans,L83-81,23-42,Tyler  8,Jenkins  10,2011/2012,Thompson,16
"Thu, 1 Nov",Phoenix,W87-85,1-0,Lee  9,Jack  7,2012/2013,Landry,17
"Sat, 3 Nov",Memphis,L104-94,1-1,Lee  7,Curry  7,2012/2013,Curry,26
"Sun, 4 Nov",Los Angeles,W114-110,2-1,Lee  12,Jack  7,2012/2013,Landry,23
"Tue, 6 Nov",Sacramento,L94-92,2-2,Thompson  7,Curry  8,2012/2013,Thompson,22
